Name,Price,Specs
HP Victus Intel Core i5 14th Gen 14450HX - (24 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeFo...,"₹85,990","Intel Core i5 Processor (14th Gen), 24 GB DDR5 RAM, Windows 11 Home Operating System, 512 GB SSD, 39.62 cm (15.6 inch) Display, MSO Home 2024 + 1yr M365 Basic & MISC PC Game Pass DA 3M, 1 Year Onsite Warranty"
HP 15s Metal Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) 15-hr0005TU Thin and Lig...,"₹37,990","Intel Core i3 Processor (13th Gen), 8 GB DDR4 RAM, Windows 11 Home Operating System, 512 GB SSD, 39.62 cm (15.6 Inch) Display, MS Office Home 2024 + MISC PC Game Pass DA 3M, 1 Year Onsite Warranty"
Samsung Galaxy Book4 Metal Intel Core i7 13th Gen 1355U - (16 GB/512 GB SSD/Windows 11 Home) NP750XGJ-...,"₹58,990","Intel Core i7 Processor (13th Gen), 16 GB LPDDR4X RAM, Windows 11 Operating System, 512 GB SSD, 39.62 cm (15.6 Inch) Display, 1 Year Manufacturer Warranty for Laptop and 6 Months for In-Box Accessories"
Acer Aspire 15 AMD Ryzen 5 Hexa Core 7430U - (16 GB/512 GB SSD/Windows 11 Home) Aspire AS15-42 Thin an...,"₹34,490","AMD Ryzen 5 Hexa Core Processor, 16 GB DDR4 RAM, Windows 11 Operating System, 512 GB SSD, 39.62 cm (15.6 Inch) Display, 1 Year Carry-in Warranty"
Samsung Galaxy Book4 Metal Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) NP750XGJ ...,"₹49,990","Intel Core i5 Processor (13th Gen), 16 GB LPDDR4X RAM, Windows 11 Operating System, 512 GB SSD, 39.62 cm (15.6 Inch) Display, 1 Year Manufacturer Warranty for Laptop and 6 Months for In-Box Accessories"
Acer Aspire 3 Backlit AMD Ryzen 7 Octa Core 7730U - (16 GB/512 GB SSD/Windows 11 Home) Aspire AS15 - 4...,"₹40,990","AMD Ryzen 7 Octa Core Processor, 16 GB DDR4 RAM, Windows 11 Operating System, 512 GB SSD, 39.62 cm (15.6 Inch) Display, 1 Year Carry-in Warranty"
Lenovo IdeaPad Slim 3 Next Gen AI PC WUXGA IPS Copilot + PC Qualcomm Snapdragon X - (16 GB/512 GB SSD/...,"₹50,990","Qualcomm Snapdragon X Processor, 16 GB LPDDR5X RAM, Windows 11 Home Operating System, 512 GB SSD, 38.86 cm (15.3 inch) Display, Office Home 2024, 1 Year Onsite Warranty"
MOTOROLA Motobook 60 Full Metal OLED (i5 14th Gen) Intel Core 5 (Series 2) 210H - (16 GB/512 GB SSD/Wi...,"₹49,990","Intel Core 5 (Series 2) Processor, 16 GB DDR5 RAM, 64 bit Windows 11 Operating System, 512 GB SSD, 35.56 cm (14 Inch) Display, Office Home 2024, 1 Year Onsite Warranty"
Acer Aspire 3 Intel Core i3 13th Gen 1305U - (16 GB/512 GB SSD/Windows 11 Home) A324-53 Thin and Light...,"₹34,990","Intel Core i3 Processor (13th Gen), 16 GB DDR4 RAM, Windows 11 Operating System, 512 GB SSD, 35.56 cm (14 Inch) Display, 1 Year Carry-in Warranty"
Acer Aspire 3 Intel Core i5 13th Gen 1334U - (16 GB/512 GB SSD/Windows 11 Home) A324-53 Thin and Light...,"₹40,990","Intel Core i5 Processor (13th Gen), 16 GB DDR4 RAM, Windows 11 Operating System, 512 GB SSD, 35.56 cm (14 Inch) Display, 1 Year Carry-in Warranty"
"ASUS Vivobook S14 (2025) with Office 2024 + M365 Basic*, AI PC, Backlit Keyboard, Qualcomm Snapdragon ...","₹54,990","Qualcomm Snapdragon X Processor, 16 GB LPDDR5X RAM, Windows 11 Home Operating System, 512 GB SSD, 35.56 cm (14 inch) Display, Microsoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), One-Month Membership of Adobe Creative Cloud All Apps, 1 Year Onsite Warranty"
ASUS Vivobook S14 (2025)(i5 14th Gen) with Office 2024 + M365 Basic* Backlit Keyboard Intel Core 5 210...,"₹63,990","Intel Core 5 Processor, 16 GB DDR5 RAM, Windows 11 Home Operating System, 512 GB SSD, 35.56 cm (14 inch) Display, Microsoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), One-Month Membership of Adobe Creative Cloud All Apps, McAfee 1 year, 1 Year Onsite Warranty"
Acer NITRO LITE 16 Intel Core i7 13th Gen 13620H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVI...,"₹69,990","Intel Core i7 Processor (13th Gen), 16 GB DDR5 RAM, 64 bit Windows 11 Home Operating System, 512 GB SSD, 40.64 cm (16 Inch) Display, 1 Year Warranty"
ASUS Expertbook P1 High-performance processor Intel Core i7 13th Gen 13620H - (32 GB/512 GB SSD/Window...,"₹63,990","Intel Core i7 Processor (13th Gen), 32 GB DDR5 RAM, Windows 11 Home Operating System, 512 GB SSD, 35.56 cm (14 inch) Display, Included Software- Microsoft Office Home 2024(includes Word, Excel, PowerPoint, and OneNote) (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), McAfee+TM Premium (1 year Validity), 1 Year Onsite Warranty"
Lenovo 100e Chromebook Gen 4 MediaTek MediaTek Kompanio 528 - (4 GB/64 GB EMMC Storage/Chrome OS) 82W0...,"₹11,999","MediaTek MediaTek Kompanio 528 Processor, 4 GB LPDDR4X RAM, Chrome Operating System, 29.46 cm (11.6 Inch) Display, 1 Year Carry-in Warranty"
Acer Aspire 3 Intel Celeron Dual Core - (8 GB/128 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto...,"₹17,990","Intel Celeron Dual Core Processor, 8 GB DDR4 RAM, 64 bit Windows 11 Home Operating System, 128 GB SSD, 29.46 cm (11.6 inch) Display, 1 Year Warranty"
HP MSO 2024 Intel Core i3 13th Gen 1315U - (16 GB/512 GB SSD/Windows 11 Home) 15-fd0574TU / 15 - fd066...,"₹40,990","Intel Core i3 Processor (13th Gen), 16 GB DDR4 RAM, Windows 11 Home Operating System, 512 GB SSD, 39.62 cm (15.6 Inch) Display, MS Office Home 2024 + MISC PC Game Pass DA 3M, 1 Year Onsite Warranty"
HP Intel Core i7 13th Gen 13620H - (16 GB/512 GB SSD/Windows 11 Home) 15-fr0046TU Thin and Light Lapto...,"₹66,990","Intel Core i7 Processor (13th Gen), 16 GB DDR4 RAM, Windows 11 Home Operating System, 512 GB SSD, 39.62 cm (15.6 Inch) Display, 1 Year Onsite Warranty"
Lenovo IdeaPad Slim 3 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home) 83ER00KSIN Th...,"₹45,990","Intel Core i5 Processor (12th Gen), 16 GB DDR4 RAM, Windows 11 Home Operating System, 512 GB SSD, 39.62 cm (15.6 inch) Display, 1 Year Warranty"
Lenovo IdeaPad Slim 5 Co-Pilot Next Gen AI PC Full Metal Snapdragon X Plus - (16 GB/1 TB SSD/Windows 1...,"₹66,990","Snapdragon X Plus Processor, 16 GB LPDDR5X RAM, Windows 11 Operating System, 1 TB SSD, 35.56 cm (14 Inch) Display, 1 Year Carry-in Warranty"
MOTOROLA Motobook 60 Full Metal OLED (i5 14th Gen) Intel Core 5 (Series 2) 210H - (16 GB/512 GB SSD/Wi...,"₹49,990","Intel Core 5 (Series 2) Processor, 16 GB DDR5 RAM, 64 bit Windows 11 Operating System, 512 GB SSD, 35.56 cm (14 Inch) Display, Office Home 2024, 1 Year Onsite Warranty"
HP Victus Intel Core i5 14th Gen 14450HX - (24 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeFo...,"₹85,990","Intel Core i5 Processor (14th Gen), 24 GB DDR5 RAM, Windows 11 Home Operating System, 512 GB SSD, 39.62 cm (15.6 inch) Display, MSO Home 2024 + 1yr M365 Basic & MISC PC Game Pass DA 3M, 1 Year Onsite Warranty"
ASUS Expertbook P1 High-performance processor Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Window...,"₹49,990","Intel Core i5 Processor (13th Gen), 16 GB DDR5 RAM, Windows 11 Home Operating System, 512 GB SSD, 39.62 cm (15.6 inch) Display, Included Software- Microsoft Office Home 2024(includes Word, Excel, PowerPoint, and OneNote) (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), McAfee+TM Premium (1 year Validity), 1 Year Onsite Warranty"
"ASUS Vivobook 15 (2025) with Office 2024 + M365 Basic*, Backlit Keyboard, Intel Core i3 13th Gen 1315U...","₹41,990","Intel Core i3 Processor (13th Gen), 16 GB DDR5 RAM, Windows 11 Home Operating System, 512 GB SSD, 39.62 cm (15.6 inch) Display, Microsoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), One-Month Membership of Adobe Creative Cloud All Apps, McAfee 1 year, 1 Year Onsite Warranty"
ASUS Expertbook P1 High-performance processor Intel Core i5 13th Gen 13420H - (32 GB/512 GB SSD/Window...,"₹53,990","Intel Core i5 Processor (13th Gen), 32 GB DDR5 RAM, Windows 11 Home Operating System, 512 GB SSD, 35.56 cm (14 inch) Display, Included Software- Microsoft Office Home 2024(includes Word, Excel, PowerPoint, and OneNote) (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), McAfee+TM Premium (1 year Validity), 1 Year Onsite Warranty"
"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Ho...","₹36,990","Intel Core i3 Processor (13th Gen), 8 GB DDR4 RAM, Windows 11 Operating System, 512 GB SSD, 39.62 cm (15.6 Inch) Display, 1 Year Onsite warranty"
HP 15s Metal Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) 15-hr0005TU Thin and Lig...,"₹37,990","Intel Core i3 Processor (13th Gen), 8 GB DDR4 RAM, Windows 11 Home Operating System, 512 GB SSD, 39.62 cm (15.6 Inch) Display, MS Office Home 2024 + MISC PC Game Pass DA 3M, 1 Year Onsite Warranty"
ASUS Vivobook Go 15 AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ130WS | ...,"₹30,990","AMD Ryzen 3 Quad Core Processor, 8 GB LPDDR5 RAM, Windows 11 Home Operating System, 512 GB SSD, 39.62 cm (15.6 Inch) Display, Microsoft Office Home 2024 + Microsoft 365 Basic, 1 Year Onsite Warranty"
ASUS Expertbook P3 Metal High-performance processor Intel Core i7 13th Gen 13620H - (32 GB/1 TB SSD/Wi...,"₹69,990","Intel Core i7 Processor (13th Gen), 32 GB DDR5 RAM, Windows 11 Home Operating System, 1 TB SSD, 35.56 cm (14 Inch) Display, Included Software- Microsoft Office Home 2024(includes Word, Excel, PowerPoint, and OneNote) (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), McAfee+TM Premium (1 year Validity), 1 Year Onsite Warranty"
Lenovo Yoga 6 AMD Ryzen 7 Octa Core 7730U - (16 GB/1 TB SSD/Windows 11 Home) 13ABR8 2 in 1 Laptop,"₹59,990","AMD Ryzen 7 Octa Core Processor, 16 GB LPDDR4X RAM, Windows 11 Operating System, 1 TB SSD, 33.78 cm (13.3 inch) Touchscreen Display, 1Yr Warranty + 1 Yr Premium Care and 1 Yr Accidental Damage Protection"
Lenovo IdeaPad Slim 3 Next Gen AI PC WUXGA IPS Copilot + PC Qualcomm Snapdragon X - (16 GB/512 GB SSD/...,"₹50,990","Qualcomm Snapdragon X Processor, 16 GB LPDDR5X RAM, Windows 11 Home Operating System, 512 GB SSD, 38.86 cm (15.3 inch) Display, Office Home 2024, 1 Year Onsite Warranty"
MOTOROLA Motobook 60 Full Metal OLED (i5 14th Gen) Intel Core 5 (Series 2) 210H - (16 GB/512 GB SSD/Wi...,"₹49,990","Intel Core 5 (Series 2) Processor, 16 GB DDR5 RAM, 64 bit Windows 11 Operating System, 512 GB SSD, 35.56 cm (14 Inch) Display, Office Home 2024, 1 Year Onsite Warranty"
ASUS Vivobook Go 14 (2025) with Office 2024 + M365 Basic* AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB S...,"₹32,190","AMD Ryzen 3 Quad Core Processor, 8 GB LPDDR5 RAM, Windows 11 Home Operating System, 512 GB SSD, 35.56 cm (14 inch) Display, Microsoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), McAfee 1 year, 1 Year Onsite Warranty"
ASUS Expertbook P1 Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) P1503CVA-S70501WS ...,"₹36,990","Intel Core i3 Processor (13th Gen), 8 GB DDR5 RAM, Windows 11 Home Operating System, 512 GB SSD, 39.62 cm (15.6 inch) Display, Included Software- Microsoft Office Home 2024(includes Word, Excel, PowerPoint, and OneNote) (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), McAfee+TM Premium (1 year Validity), 1 Year Onsite Warranty"
"HP 15 Laptop with Backlit Keyboard & MSO'2024, AMD Ryzen 7 Octa Core 7730U - (16 GB/512 GB SSD/Windows...","₹52,990","AMD Ryzen 7 Octa Core Processor, 16 GB DDR4 RAM, Windows 11 Home Operating System, 512 GB SSD, 39.62 cm (15.6 Inch) Display, MS Office Home 2024 + 1 year M365 Basic, 1 Year Onsite Warranty"
"DELL 14 Plus Next Gen AI PC Backlit Keyboard, Fingerprint reader Intel Core Ultra 5 226V - (16 GB/512 ...","₹70,990","Intel Core Ultra 5 Processor, 16 GB LPDDR5X RAM, Windows 11 Home Operating System, 512 GB SSD, 35.56 cm (14 inch) Display, 1 Year Onsite Hardware Service"
"ASUS Vivobook S14 (2025) with Office 2024 + M365 Basic*, AI PC, Backlit Keyboard, Qualcomm Snapdragon ...","₹54,990","Qualcomm Snapdragon X Processor, 16 GB LPDDR5X RAM, Windows 11 Home Operating System, 512 GB SSD, 35.56 cm (14 inch) Display, Microsoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), One-Month Membership of Adobe Creative Cloud All Apps, 1 Year Onsite Warranty"
ASUS Vivobook S14 (2025)(i5 14th Gen) with Office 2024 + M365 Basic* Backlit Keyboard Intel Core 5 210...,"₹63,990","Intel Core 5 Processor, 16 GB DDR5 RAM, Windows 11 Home Operating System, 512 GB SSD, 35.56 cm (14 inch) Display, Microsoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), One-Month Membership of Adobe Creative Cloud All Apps, McAfee 1 year, 1 Year Onsite Warranty"
Acer Aspire Lite Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) AL15-52 Thin and Lig...,"₹32,990","Intel Core i3 Processor (12th Gen), 8 GB DDR4 RAM, 64 bit Windows 11 Home Operating System, 512 GB SSD, 39.62 cm (15.6 inch) Display, 1 year"
Lenovo LOQ Essential Intel Core i7 12650HX - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA Ge...,"₹79,990","Intel Core i7 Processor, 16 GB DDR5 RAM, Windows 11 Home Operating System, 512 GB SSD, 39.62 cm (15.6 inch) Display, 1 Year Carry-in Warranty"
HP MSO 2024 Intel Core i3 13th Gen 1315U - (16 GB/512 GB SSD/Windows 11 Home) 15-fd0574TU / 15 - fd066...,"₹40,990","Intel Core i3 Processor (13th Gen), 16 GB DDR4 RAM, Windows 11 Home Operating System, 512 GB SSD, 39.62 cm (15.6 Inch) Display, MS Office Home 2024 + MISC PC Game Pass DA 3M, 1 Year Onsite Warranty"
HP Intel Core i7 13th Gen 13620H - (16 GB/512 GB SSD/Windows 11 Home) 15-fr0046TU Thin and Light Lapto...,"₹66,990","Intel Core i7 Processor (13th Gen), 16 GB DDR4 RAM, Windows 11 Home Operating System, 512 GB SSD, 39.62 cm (15.6 Inch) Display, 1 Year Onsite Warranty"
ASUS Chromebook CX15 Intel Celeron Dual Core N4500 - (4 GB/64 GB EMMC Storage/Chrome OS) CX1505CKA-S70...,"₹15,990","Intel Celeron Dual Core Processor, 4 GB LPDDR4X RAM, Chrome Operating System, 39.62 cm (15.6 Inch) Display, 1 Year Onsite Warranty"
Lenovo Chromebook Intel Pentium Quad Core N100 - (4 GB/128 GB EMMC Storage/Chrome OS) 14IAN8 Chromeboo...,"₹15,990","Intel Pentium Quad Core Processor, 4 GB LPDDR5 RAM, Chrome Operating System, 35.56 cm (14 Inch) Display, 1 Year Carry-in Warranty"
"ASUS Vivobook S14 (2025) with Office 2024 + M365 Basic*, Backlit Keyboard, Intel Core i7 13th Gen 1362...","₹66,990","Intel Core i7 Processor (13th Gen), 16 GB DDR5 RAM, Windows 11 Home Operating System, 512 GB SSD, 35.56 cm (14 inch) Display, Microsoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), One-Month Membership of Adobe Creative Cloud All Apps, McAfee 1 year, 1 Year Onsite Warranty"
Acer Aspire 3 Intel Celeron Dual Core N4500 - (8 GB/512 GB SSD/Windows 11 Home) A325-45 Thin and Light...,"₹27,986","Intel Celeron Dual Core Processor, 8 GB LPDDR4X RAM, Windows 11 Home Operating System, 512 GB SSD, 39.62 cm (15.6 inch) Display, 1 Year International Travelers Warranty (ITW)"
MOTOROLA Motobook 60 Full Metal OLED (i5 14th Gen) Intel Core 5 (Series 2) 210H - (16 GB/512 GB SSD/Wi...,"₹49,990","Intel Core 5 (Series 2) Processor, 16 GB DDR5 RAM, 64 bit Windows 11 Operating System, 512 GB SSD, 35.56 cm (14 Inch) Display, Office Home 2024, 1 Year Onsite Warranty"
HP Victus Intel Core i5 14th Gen 14450HX - (24 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeFo...,"₹85,990","Intel Core i5 Processor (14th Gen), 24 GB DDR5 RAM, Windows 11 Home Operating System, 512 GB SSD, 39.62 cm (15.6 inch) Display, MSO Home 2024 + 1yr M365 Basic & MISC PC Game Pass DA 3M, 1 Year Onsite Warranty"
"ASUS Vivobook 14 (2025) with Office 2024 + M365 Basic*, AI PC, Backlit Keyboard, Intel Core Ultra 5 22...","₹65,990","Intel Core Ultra 5 Processor, 16 GB DDR5 RAM, Windows 11 Home Operating System, 512 GB SSD, 35.56 cm (14 Inch) Display, Microsoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), 
McAfee? 1 year, One-Month Membership of Adobe Creative Cloud All Apps, 1 Year Onsite warranty"
DELL 15 Intel Core i5 13th Gen - (16 GB/512 GB SSD/Windows 11 Home) Vostro 3530 RPL Laptop,"₹50,990","Intel Core i5 Processor (13th Gen), 16 GB DDR4 RAM, Windows 11 Operating System, 512 GB SSD, 39.62 cm (15.6 inch) Display, My Dell (Dell Power Manager, Dell Support Assist), Office H&S 2024, 1 Year Onsite Hardware Service"
HP 15s Metal Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) 15-hr0005TU Thin and Lig...,"₹37,990","Intel Core i3 Processor (13th Gen), 8 GB DDR4 RAM, Windows 11 Home Operating System, 512 GB SSD, 39.62 cm (15.6 Inch) Display, MS Office Home 2024 + MISC PC Game Pass DA 3M, 1 Year Onsite Warranty"
ASUS Vivobook Go 15 AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ130WS | ...,"₹30,990","AMD Ryzen 3 Quad Core Processor, 8 GB LPDDR5 RAM, Windows 11 Home Operating System, 512 GB SSD, 39.62 cm (15.6 Inch) Display, Microsoft Office Home 2024 + Microsoft 365 Basic, 1 Year Onsite Warranty"
Acer Aspire 3 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) A324-51 Thin and Light ...,"₹29,990","Intel Core i3 Processor (12th Gen), 8 GB DDR4 RAM, 64 bit Windows 11 Operating System, 512 GB SSD, 35.56 cm (14 Inch) Display, 1 Year Domestic Warranty"
ASUS Vivobook Go 15 AMD Ryzen 5 Quad Core 7520U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ133WS | ...,"₹36,990","AMD Ryzen 5 Quad Core Processor, 8 GB LPDDR5 RAM, Windows 11 Home Operating System, 512 GB SSD, 39.62 cm (15.6 Inch) Display, Microsoft Office Home 2024 + Microsoft 365 Basic, 1 Year Onsite Warranty"
ASUS TUF Gaming A15 (2025) AMD Ryzen 7 Hexa Core 7445HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graph...,"₹66,990","AMD Ryzen 7 Hexa Core Processor, 16 GB DDR5 RAM, Windows 11 Home Operating System, 512 GB SSD, 39.62 cm (15.6 Inch) Display, 1 Year Onsite Warranty"
Acer Aspire 3 AMD Ryzen 3 Quad Core 7330U - (16 GB/512 GB SSD/Windows 11 Home) AS15-42 Thin and Light ...,"₹34,990","AMD Ryzen 3 Quad Core Processor, 16 GB DDR4 RAM, Windows 11 Operating System, 512 GB SSD, 39.62 cm (15.6 Inch) Display, 1 Year Onsite Warranty"
Lenovo IdeaPad Slim 3 Next Gen AI PC WUXGA IPS Copilot + PC Qualcomm Snapdragon X - (16 GB/512 GB SSD/...,"₹50,990","Qualcomm Snapdragon X Processor, 16 GB LPDDR5X RAM, Windows 11 Home Operating System, 512 GB SSD, 38.86 cm (15.3 inch) Display, Office Home 2024, 1 Year Onsite Warranty"
MOTOROLA Motobook 60 Full Metal OLED (i5 14th Gen) Intel Core 5 (Series 2) 210H - (16 GB/512 GB SSD/Wi...,"₹49,990","Intel Core 5 (Series 2) Processor, 16 GB DDR5 RAM, 64 bit Windows 11 Operating System, 512 GB SSD, 35.56 cm (14 Inch) Display, Office Home 2024, 1 Year Onsite Warranty"
"ASUS Vivobook 14 (2025) with Office 2024 + M365 Basic*, Backlit Keyboard, Intel Core i3 13th Gen 1315U...","₹36,990","Intel Core i3 Processor (13th Gen), 8 GB DDR4 RAM, Windows 11 Home Operating System, 512 GB SSD, 35.56 cm (14 inch) Display, Microsoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), One-Month Membership of Adobe Creative Cloud All Apps, McAfee 1 year, 1 Year Onsite Warranty"
Acer Aspire 14 Intel Core i7 13th Gen 13620H - (16 GB/512 GB SSD/Windows 11 Home) AS14H-53 Thin and Li...,"₹56,990","Intel Core i7 Processor (13th Gen), 16 GB LPDDR5 RAM, 64 bit Windows 11 Home Operating System, 512 GB SSD, 35.56 cm (14 inch) Display, 1 Year Warranty"
"ASUS Vivobook S14 (2025) with Office 2024 + M365 Basic*, AI PC, Backlit Keyboard, Qualcomm Snapdragon ...","₹54,990","Qualcomm Snapdragon X Processor, 16 GB LPDDR5X RAM, Windows 11 Home Operating System, 512 GB SSD, 35.56 cm (14 inch) Display, Microsoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), One-Month Membership of Adobe Creative Cloud All Apps, 1 Year Onsite Warranty"
ASUS Vivobook S14 (2025)(i5 14th Gen) with Office 2024 + M365 Basic* Backlit Keyboard Intel Core 5 210...,"₹63,990","Intel Core 5 Processor, 16 GB DDR5 RAM, Windows 11 Home Operating System, 512 GB SSD, 35.56 cm (14 inch) Display, Microsoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), One-Month Membership of Adobe Creative Cloud All Apps, McAfee 1 year, 1 Year Onsite Warranty"
ASUS Expertbook P1 Intel Core i3 13th Gen 1315U - (16 GB/512 GB SSD/Windows 11 Home) P1503CVA-S71074WS...,"₹38,990","Intel Core i3 Processor (13th Gen), 16 GB DDR5 RAM, Windows 11 Home Operating System, 512 GB SSD, 39.62 cm (15.6 inch) Display, Included Software- Microsoft Office Home 2024(includes Word, Excel, PowerPoint, and OneNote) (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), McAfee+TM Premium (1 year Validity), 1 Year Onsite Warranty"
Acer Aspire 3 Intel Pentium Quad Core 12th Gen N100 - (8 GB/512 GB SSD/Windows 11 Home) A324-31 Thin a...,"₹27,990","Intel Pentium Quad Core Processor (12th Gen), 8 GB DDR4 RAM, Windows 11 Operating System, 512 GB SSD, 35.56 cm (14 Inch) Display, 1 Year Carry-in Warranty"
